Name,Volatility
iota,0.38852875710973156
anchor-protocol,1.1552772655437913
compound,155.01777766084345
bitcoin-sv,64.92718651455236
drep,0.4851697345799998
moonbeam,2.9279442570636176
usd-coin,0.0005122559496011628
storj,0.5410062952029401
chainlink,7.428423452896462
basic-attention-token,0.27225876787826625
wax,0.0
dogelon-mars,6.118696380141355e-07
bittorrent,1.5324460531617227e-07
enjin-coin,0.6867797038298155
bitlux-otc,8.854811649537536
sumcoin,31.89640751575549
syscoin,0.2734091099925009
symbol,0.11509658997176976
binance-coin,109.71337930438224
shiba-inu,1.6599208055668527e-05
egw-capital,0.0
huobi-btc,9340.35741955367
bancor-network-token,1.6983039562763058
kava,1.316222114114924
unus-sed-leo,0.9442524970327499
binance-usd,0.0
the-graph,0.4278711878408667
elrond,81.41751290684643
helium,10.22026922807516
compound-dai,0.00022576277390335854
sushi,4.087276529804368
fei-usd,0.051428432461608255
compound-ether,16.47005058581028
gnosis,110.90833078540703
theta-fuel,0.09142233980190557
lido-staked-ether,820.1535531690657
hedera-hashgraph,0.07396856085588673
keep-network,0.17371502033151962
monero,63.520090214419156
wojak-finance,0.052999184237949026
golem,0.10920980186664844
yantum,0.0
bitcoin-defi,128.33025018002095
gatetoken,1.7369263287412975
ecash,7.38714649891232e-05
flow,0.0
thorecoin,6481.916778828073
ravencoin,0.04499449802285649
voyager-token,1.0152887154342816
celo,1.2940731607505764
zilliqa,0.048024244670763494
uppsme,0.38429350058992917
cryncoin,958.7738262027993
solana,70.25936110672482
holo,0.004187562057473649
american-coin,0.0
yaapoo,1648.7297540016953
open-governance-token,0.6579008261853869
crude-oil-brent,9.714294315607138
the-transfer-token,3.0114778058721297
0x,0.3987274295017813
convex-finance,12.751608095557334
mercury-protocol,0.0
bitgert,2.3727617823975108e-07
magic-internet-money,0.0049798164784102756
bitkub-coin,1.3752416685461455
iostoken,0.015118006554633776
wrapped-luna-token,19.349205110475655
financial-zen,763.7967797864475
waves,6.872939474009168
uniswap,7.812160083326008
siacoin,0.008050508913417043
pocket-network,0.5150508802767906
youcash,0.06981210100079378
threshold-network-token,0.027754075466025763
bitdao,0.43332312143002705
bitcoin-nft,183.88377185541182
frax,0.002656807937298343
the-sandbox,1.974711592084559
osmosis,2.4388798254058677
loopring,0.7726396357206294
ontology,0.45035060297366863
aave,95.1249621753788
zcash,47.91503453331661
amp,0.015931938121032056
woo-network,0.28067397074225914
ethereum-classic,19.904119296000605
internet-computer,47.544432620663095
dogecoin,0.10444623024422735
klaytn,0.6895568859211433
ruby-currency,0.7187636046466027
mina-protocol,21.26447401586201
torg,0.0010398100800040736
kusama,102.72467057959403
neo,21.34158168053997
apenft,9.001120648891843e-07
huobi-token,5.009544403832999
cosmos,8.934085356360393
nem,0.1087873970486661
ftx-token,11.284976953446044
bora,0.3834239010446906
decentraland,1.1777866349190165
bittorrent-[old],0.0016991894509731358
gold-24-carat-oz,28.686763419240872
swissborg,0.24582103252355997
mixin,69.23100906148343
polymath,0.19054236514070075
cronos,0.17619704459746893
stellar,0.11048335127136179
chain,26.35448341673418
compumar,0.0
axie-infinity,46.993881278187914
algorand,0.39395462823681754
renbtc,9356.312029635203
marinade-staked-sol,76.87090042547054
arweave,18.620570623827465
eos,1.7149468865793809
pancakeswap,7.037564165662744
ecomi,0.0021763089751027447
curve-dao-token,1.1005414851330095
defichain,0.6139094588951797
egw-academy,0.8129784003886593
hex,0.12178382688399021
bitcoin-br,225.34770552618653
tether,0.0003066012376076891
wrapped-bitcoin,9347.461124235555
livepeer,11.72833750553183
near-protocol,3.99222530040948
decred,45.12173333391178
perspective-coin,0.023925839138758186
bifrost,1.5282136896340033
skale,0.17481615313742038
thorchain,3.655125466066986
polygon,0.5850206230765791
ethereum,824.5939485710242
crowdholding,0.0
litecoin,52.82767539443763
qtum,4.206123429242538
bitcoin-cash,209.17800517086658
bitcoin,9330.33350891075
atlantis-coin,0.13468642988393692
cardano,0.49587318727103546
chainbing,0.0
nucypher,0.2576875875521329
icon,0.6174433661011213
pax-gold,51.515787402135665
stacks,0.494443719264834
kadena,5.608055125674862
dash,67.30695149964085
the-bee-token,3.640742163077449e-11
wemix-token,4.601474914219459
musk-metaverse,4.640512285548214e-07
toncoin,1.1566125753862935
tezos,1.4166009201793912
iotex,0.043660415282330466
liquity-usd,0.010942343565607218
nexo,0.6424005087473932
tron,0.023876597623552896
irr,3.530438006301126e-06
fantom,0.9173828336468262
audius,0.7006614979615443
uma,6.470610805426305
chiliz,0.11662833735379408
filecoin,40.41011157470374
gala,0.17150584558406148
counos-x,61.02551480354872
bitcoin-cash-abc,74.37526893426973
bitcoin-gold,23.884398305618646
render-token,1.657926455706942
unfoldu-group-coin-(new),0.0014778633815590641
maker,782.6163195640931
velas,0.0
nexus-mutual,29.419982486046266
juno,9.064785153897967
aussie--digital,0.0
okb,6.263406528086809
avalanche,33.31786477176273
compound-usd-coin,0.0006431931437146529
